Generation,Total Shipped,Total RMA,Date
PVT,162,5,2020-12-01
PVT2,241,27,2020-12-01
MP1,381,39,2020-12-01
MP1m,53,2,2020-12-01
MP2,758,65,2020-12-01
MP3,703,113,2020-12-01
MP4,641,88,2020-12-01
MP5,938,52,2020-12-01
PVT,162,5,2020-12-02
PVT2,241,27,2020-12-02
MP1,381,39,2020-12-02
MP1m,53,2,2020-12-02
MP2,758,65,2020-12-02
MP3,703,113,2020-12-02
MP4,641,88,2020-12-02
MP5,940,52,2020-12-02
PVT,162,5,2020-12-03
PVT2,241,27,2020-12-03
MP1,381,39,2020-12-03
MP1m,53,2,2020-12-03
MP2,758,65,2020-12-03
MP3,703,113,2020-12-03
MP4,641,88,2020-12-03
MP5,986,52,2020-12-03
PVT,162,5,2020-12-04
PVT2,241,30,2020-12-04
MP1,381,48,2020-12-04
MP1m,53,2,2020-12-04
MP2,758,70,2020-12-04
MP3,703,117,2020-12-04
MP4,641,90,2020-12-04
MP5,1002,58,2020-12-04
PVT,162,5,2020-12-05
PVT2,241,30,2020-12-05
MP1,381,48,2020-12-05
MP1m,53,2,2020-12-05
MP2,758,70,2020-12-05
MP3,703,117,2020-12-05
MP4,641,90,2020-12-05
MP5,1002,58,2020-12-05
PVT,162,5,2020-12-06
PVT2,241,30,2020-12-06
MP1,381,48,2020-12-06
MP1m,53,2,2020-12-06
MP2,758,70,2020-12-06
MP3,703,117,2020-12-06
MP4,641,90,2020-12-06
MP5,1002,58,2020-12-06
PVT,162,5,2020-12-07
PVT2,241,30,2020-12-07
MP1,381,49,2020-12-07
MP1m,53,2,2020-12-07
MP2,758,72,2020-12-07
MP3,703,118,2020-12-07
MP4,641,90,2020-12-07
MP5,1002,68,2020-12-07
PVT,162,5,2020-12-08
PVT2,241,31,2020-12-08
MP1,381,50,2020-12-08
MP1m,53,2,2020-12-08
MP2,758,72,2020-12-08
MP3,703,119,2020-12-08
MP4,641,90,2020-12-08
MP5,1002,74,2020-12-08
PVT,162,5,2020-12-09
PVT2,241,32,2020-12-09
MP1,381,50,2020-12-09
MP1m,53,2,2020-12-09
MP2,758,73,2020-12-09
MP3,703,119,2020-12-09
MP4,641,91,2020-12-09
MP5,1002,75,2020-12-09
PVT,162,5,2020-12-10
PVT2,241,32,2020-12-10
MP1,381,50,2020-12-10
MP1m,53,2,2020-12-10
MP2,758,73,2020-12-10
MP3,703,119,2020-12-10
MP4,641,91,2020-12-10
MP5,1002,75,2020-12-10
PVT,162,5,2020-12-11
PVT2,241,32,2020-12-11
MP1,381,50,2020-12-11
MP1m,53,2,2020-12-11
MP2,758,73,2020-12-11
MP3,703,119,2020-12-11
MP4,641,91,2020-12-11
MP5,1002,75,2020-12-11

